Measurement Count,IMU_MODE,Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z,ROLL,PITCH,HEADING
1,0,-0.00500000,0.00200000,1.00500000,0.12000000,0.11000000,0.09000000,0.05000000,0.28000000,0.00000000
2,0,-0.00300000,0.00100000,1.00100000,0.05000000,0.08000000,-0.08000000,0.05000000,0.29000000,-0.00000000
3,0,-0.00400000,-0.00300000,1.00000000,-0.10000000,-0.22000000,-0.16000000,0.04000000,0.28000000,-0.00000000
4,0,-0.00500000,0.00200000,0.99900000,0.10000000,0.06000000,-0.02000000,0.04000000,0.28000000,-0.00000000
5,0,-0.00600000,0.00200000,1.00500000,0.01000000,0.22000000,0.15000000,0.05000000,0.28000000,-0.00000000
6,0,-0.00400000,0.00200000,1.00300000,0.14000000,0.04000000,-0.08000000,0.05000000,0.29000000,-0.00000000
7,0,-0.00800000,0.00300000,0.99800000,-0.00000000,0.08000000,-0.16000000,0.05000000,0.29000000,-0.00000000
8,0,-0.00600000,-0.00100000,1.00200000,0.01000000,0.04000000,-0.01000000,0.04000000,0.29000000,-0.00000000
9,0,-0.00100000,0.00000000,1.00100000,0.12000000,-0.11000000,0.21000000,0.04000000,0.29000000,-0.00000000
10,0,-0.00400000,-0.00100000,1.00400000,0.23000000,-0.20000000,-0.01000000,0.04000000,0.29000000,0.00000000
11,0,-0.00600000,-0.00000000,1.00200000,-0.11000000,0.13000000,-0.18000000,0.04000000,0.29000000,0.00000000
12,0,-0.00300000,0.00100000,1.00000000,-0.01000000,-0.16000000,0.09000000,0.04000000,0.29000000,0.00000000
13,0,-0.00600000,0.00200000,1.00400000,0.35000000,-0.01000000,0.01000000,0.04000000,0.30000000,0.00000000
14,0,-0.00600000,0.00100000,1.00000000,-0.08000000,0.01000000,0.23000000,0.04000000,0.30000000,0.00000000
15,0,-0.00200000,-0.00300000,1.00100000,-0.21000000,-0.18000000,-0.06000000,0.04000000,0.30000000,0.00000000
16,0,-0.00200000,0.00100000,1.00000000,0.17000000,0.24000000,0.07000000,0.04000000,0.30000000,0.00000000
17,0,-0.00200000,0.00400000,0.99700000,-0.28000000,-0.05000000,0.24000000,0.04000000,0.30000000,0.00000000
18,0,-0.00400000,0.00100000,0.99900000,-0.15000000,-0.07000000,-0.02000000,0.05000000,0.30000000,0.00000000
19,0,-0.00500000,0.00100000,0.99900000,-0.01000000,-0.05000000,-0.07000000,0.05000000,0.30000000,0.00000000
20,0,-0.00200000,0.00200000,1.00200000,0.01000000,-0.02000000,-0.24000000,0.05000000,0.30000000,0.00000000
21,0,-0.00300000,0.00300000,0.99900000,0.12000000,-0.07000000,0.03000000,0.05000000,0.30000000,0.00000000
22,0,-0.00100000,-0.00000000,0.99900000,-0.06000000,0.01000000,-0.09000000,0.05000000,0.29000000,0.00000000
23,0,-0.00400000,0.00000000,1.00300000,-0.12000000,0.11000000,-0.22000000,0.05000000,0.30000000,0.00000000
24,0,-0.00500000,-0.00200000,1.00100000,0.05000000,0.02000000,0.10000000,0.05000000,0.30000000,0.00000000
25,0,-0.00200000,0.00100000,0.99700000,-0.20000000,-0.20000000,-0.17000000,0.05000000,0.30000000,0.00000000
26,0,-0.00700000,-0.00100000,0.99900000,-0.03000000,0.17000000,0.08000000,0.05000000,0.30000000,0.00000000
27,0,-0.00600000,-0.00200000,1.00100000,-0.01000000,0.15000000,0.08000000,0.05000000,0.29000000,0.00000000
28,0,-0.00300000,0.00200000,1.00200000,0.13000000,-0.02000000,-0.00000000,0.04000000,0.29000000,0.00000000
29,0,-0.00300000,0.00200000,0.99900000,0.16000000,-0.14000000,0.22000000,0.04000000,0.29000000,0.00000000
