Measurement Count,IMU_MODE,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,ROLL,PITCH,HEADING
1,0,0.01200000,0.02300000,1.00200000,-0.13000000,-0.02000000,-0.04000000,-0.00015398,-0.00002369,-0.00004738,1.39000000,-0.64000000,0.01000000
2,0,0.01100000,0.02700000,0.99800000,0.20000000,-0.14000000,0.14000000,0.00009750,-0.00019973,0.00012866,1.38000000,-0.64000000,0.01000000
3,0,0.00700000,0.02600000,0.99600000,-0.25000000,0.20000000,-0.04000000,-0.00019557,0.00003473,0.00008177,1.39000000,-0.64000000,0.00000000
4,0,0.01300000,0.02400000,1.00100000,0.18000000,0.16000000,0.07000000,0.00000879,0.00021639,0.00016124,1.39000000,-0.64000000,0.00000000
5,0,0.01000000,0.02100000,0.99700000,-0.05000000,0.06000000,0.06000000,-0.00006394,0.00030366,0.00024852,1.40000000,-0.65000000,0.00000000
6,0,0.01200000,0.01900000,0.99800000,-0.24000000,0.06000000,0.29000000,-0.00363507,0.00119645,0.00456363,1.40000000,-0.65000000,0.00000000
7,0,0.01100000,0.02300000,0.99900000,0.16000000,-0.03000000,0.06000000,-0.00341332,0.00115487,0.00464679,1.40000000,-0.65000000,0.01000000
8,0,0.01200000,0.02700000,0.99700000,0.05000000,-0.05000000,-0.24000000,-0.00327466,0.00101620,0.00398120,1.40000000,-0.65000000,0.00000000
9,0,0.00500000,0.02500000,0.99500000,-0.01000000,0.09000000,0.01000000,-0.00328575,0.00111607,0.00399230,1.39000000,-0.65000000,0.00000000
10,0,0.01400000,0.02200000,0.99800000,0.07000000,-0.13000000,-0.11000000,-0.00321879,0.00099172,0.00388708,1.40000000,-0.66000000,0.00000000
11,0,0.01300000,0.02500000,1.00400000,-0.12000000,-0.31000000,-0.27000000,-0.00342250,0.00046548,0.00342874,1.39000000,-0.66000000,0.00000000
12,0,0.01300000,0.02500000,1.00000000,-0.03000000,0.00000000,-0.04000000,-0.00345534,0.00046548,0.00338495,1.40000000,-0.66000000,0.00000000
13,0,0.01600000,0.02800000,1.00200000,-0.02000000,-0.13000000,0.03000000,-0.00450014,-0.00632567,0.00495214,1.40000000,-0.66000000,0.00000000
14,0,0.01300000,0.02000000,0.99600000,-0.23000000,0.08000000,0.09000000,-0.00485114,-0.00620358,0.00508949,1.40000000,-0.67000000,0.00000000
15,0,0.00800000,0.02300000,0.99900000,-0.06000000,0.10000000,0.20000000,-0.00492746,-0.00607639,0.00534388,1.40000000,-0.66000000,0.00000000
16,0,0.01200000,0.02000000,0.99700000,-0.04000000,-0.13000000,0.34000000,-0.00497603,-0.00623424,0.00575673,1.40000000,-0.67000000,0.00000000
17,0,0.01100000,0.02800000,1.00000000,0.01000000,0.07000000,0.10000000,-0.00496440,-0.00615283,0.00587303,1.40000000,-0.66000000,0.00000000
