Measurement Count,IMU_MODE,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,ROLL,PITCH,HEADING
1,0,-0.11200000,0.07600000,-0.98900000,0.06000000,-0.09000000,-0.12000000,0.01820166,-0.02730249,-0.03640332,-4.41000000,11.98000000,0.00000000
2,0,-0.11500000,0.07500000,-0.99000000,-0.16000000,-0.16000000,0.03000000,0.01803513,-0.02746902,-0.03637210,-4.35000000,22.30000000,0.02000000
3,0,-0.11600000,0.07100000,-0.98800000,-0.04000000,0.07000000,-0.06000000,0.01799526,-0.02739924,-0.03643192,-4.19000000,45.19000000,0.10000000
4,0,-0.11300000,0.07200000,-0.99400000,-0.09000000,0.02000000,-0.18000000,0.01790588,-0.02737937,-0.03661068,-3.66000000,76.06000000,0.59000000
5,0,-0.10900000,0.07300000,-0.98800000,0.08000000,-0.21000000,-0.03000000,0.01798668,-0.02759148,-0.03664098,170.23000000,87.49000000,174.44000000
6,0,-0.11500000,0.07000000,-0.99100000,0.05000000,-0.07000000,-0.15000000,0.01803712,-0.02766210,-0.03679231,175.64000000,60.35000000,179.78000000
7,0,-0.11800000,0.07100000,-0.98400000,-0.15000000,-0.11000000,-0.28000000,0.01788258,-0.02777544,-0.03708079,175.71000000,50.65000000,179.84000000
8,0,-0.11300000,0.07100000,-0.99300000,-0.08000000,0.12000000,0.13000000,0.01779407,-0.02764267,-0.03693697,175.72000000,46.32000000,179.85000000
9,0,-0.11900000,0.07400000,-0.99200000,-0.15000000,0.01000000,0.10000000,0.01762350,-0.02763130,-0.03682325,175.75000000,43.14000000,179.88000000
10,0,-0.11800000,0.07500000,-0.98600000,0.05000000,-0.28000000,-0.06000000,0.01767583,-0.02792433,-0.03688605,175.74000000,40.09000000,179.87000000
11,0,-0.11300000,0.07500000,-0.99000000,-0.01000000,-0.02000000,0.05000000,0.01766577,-0.02794443,-0.03683579,175.73000000,37.05000000,179.86000000
12,0,-0.11300000,0.07200000,-0.98900000,-0.03000000,-0.08000000,0.08000000,0.01763469,-0.02802731,-0.03675291,175.73000000,34.16000000,179.86000000
13,0,-0.11100000,0.07200000,-0.99300000,-0.05000000,0.05000000,0.13000000,0.01758293,-0.02797555,-0.03661832,175.73000000,33.52000000,179.86000000
14,0,-0.11800000,0.07500000,-0.98800000,0.25000000,0.07000000,-0.15000000,0.01788420,-0.02789119,-0.03679908,175.74000000,31.01000000,179.86000000
15,0,-0.11900000,0.07500000,-0.99400000,-0.04000000,0.12000000,-0.26000000,0.01783823,-0.02775331,-0.03709783,175.73000000,29.78000000,179.86000000
16,0,-0.11600000,0.07700000,-0.99200000,0.07000000,-0.00000000,-0.12000000,0.01791249,-0.02775331,-0.03722513,175.74000000,27.50000000,179.86000000
17,0,-0.11600000,0.07300000,-0.99200000,-0.06000000,-0.20000000,-0.12000000,0.01781268,-0.02808602,-0.03742476,175.75000000,26.17000000,179.87000000
18,0,-0.11500000,0.07100000,-0.98900000,-0.16000000,-0.12000000,0.07000000,0.01763516,-0.02821915,-0.03734709,175.76000000,24.46000000,179.87000000
19,0,-0.11800000,0.06900000,-0.99200000,-0.07000000,0.19000000,0.13000000,0.01755613,-0.02800464,-0.03720032,175.77000000,23.40000000,179.88000000
20,0,-0.11700000,0.07600000,-0.99100000,0.01000000,-0.05000000,0.13000000,0.01756803,-0.02806412,-0.03704568,175.77000000,23.16000000,179.88000000
21,0,-0.12100000,0.07400000,-0.99100000,0.19000000,-0.09000000,-0.00000000,0.01776959,-0.02815959,-0.03704568,175.77000000,22.45000000,179.88000000
22,0,-0.11700000,0.07900000,-0.98800000,-0.00000000,-0.00000000,-0.18000000,0.01776959,-0.02815959,-0.03724246,175.76000000,21.64000000,179.87000000
23,0,-0.11200000,0.07400000,-0.98900000,0.01000000,-0.07000000,0.00000000,0.01778029,-0.02823448,-0.03724246,175.76000000,21.19000000,179.87000000
24,0,-0.11500000,0.06900000,-0.99100000,0.15000000,0.12000000,-0.00000000,0.01793490,-0.02811079,-0.03724246,175.76000000,20.49000000,179.87000000
25,0,-0.11600000,0.07300000,-0.98700000,0.16000000,-0.03000000,0.08000000,0.01810475,-0.02814264,-0.03715754,175.76000000,20.12000000,179.87000000
26,0,-0.11200000,0.06600000,-0.99100000,-0.09000000,0.03000000,-0.22000000,0.01800473,-0.02810929,-0.03740204,175.78000000,19.33000000,179.88000000
27,0,-0.11800000,0.07600000,-0.98800000,0.21000000,-0.11000000,-0.12000000,0.01824062,-0.02823286,-0.03753684,175.78000000,18.96000000,179.88000000
28,0,-0.11800000,0.07000000,-0.99100000,-0.09000000,0.16000000,0.03000000,0.01814111,-0.02805595,-0.03750367,175.78000000,18.40000000,179.88000000
29,0,-0.11400000,0.07000000,-0.99000000,0.18000000,0.10000000,-0.18000000,0.02117833,-0.02636861,-0.04054089,175.77000000,17.69000000,179.88000000
30,0,-0.11900000,0.07200000,-0.98900000,-0.16000000,0.06000000,-0.08000000,0.02098373,-0.02629563,-0.04063819,175.77000000,17.18000000,179.88000000
31,0,-0.11900000,0.07300000,-0.99000000,-0.15000000,-0.02000000,0.28000000,0.02081073,-0.02631870,-0.04031526,175.77000000,17.01000000,179.88000000
32,0,-0.11400000,0.07300000,-0.99000000,-0.11000000,0.20000000,0.05000000,0.02069475,-0.02610782,-0.04026254,175.77000000,16.35000000,179.88000000
33,0,-0.12200000,0.07200000,-0.98900000,0.05000000,-0.01000000,-0.15000000,0.02074707,-0.02611828,-0.04041952,175.77000000,16.16000000,179.88000000
