Measurement Count,IMU_MODE,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,ROLL,PITCH,HEADING
1,0,0.47700000,0.06000000,0.87600000,-0.09000000,0.23000000,0.17000000,-0.00008953,0.00022880,0.00016911,3.89000000,-28.48000000,0.00000000
2,0,0.47900000,0.05500000,0.87900000,0.01000000,-0.21000000,-0.02000000,-0.00007937,0.00001539,0.00014879,3.80000000,-28.41000000,0.04000000
3,0,0.47300000,0.06000000,0.87700000,0.20000000,0.21000000,-0.17000000,0.00011930,0.00022399,-0.00002008,3.86000000,-28.41000000,0.02000000
4,0,0.47900000,0.05600000,0.87900000,-0.24000000,-0.29000000,-0.09000000,-0.00012105,-0.00006643,-0.00011021,3.85000000,-28.42000000,0.02000000
5,0,0.47800000,0.05800000,0.87800000,0.03000000,0.02000000,-0.16000000,-0.00009115,-0.00004650,-0.00026965,3.86000000,-28.46000000,0.02000000
6,0,0.47600000,0.05800000,0.87600000,-0.05000000,0.12000000,0.01000000,-0.00014064,0.00007227,-0.00025975,3.85000000,-28.46000000,0.02000000
7,0,0.48100000,0.06500000,0.87900000,-0.04000000,0.04000000,0.11000000,-0.00018033,0.00011196,-0.00015061,3.85000000,-28.45000000,0.02000000
8,0,0.47800000,0.05800000,0.87900000,-0.11000000,-0.06000000,0.12000000,-0.00028907,0.00005264,-0.00003198,3.84000000,-28.45000000,0.02000000
9,0,0.47800000,0.05800000,0.88400000,0.05000000,-0.29000000,0.05000000,-0.00023926,-0.00023626,0.00001783,3.84000000,-28.46000000,0.03000000
10,0,0.47800000,0.05800000,0.87900000,0.07000000,-0.20000000,0.07000000,-0.00016884,-0.00043746,0.00008825,3.84000000,-28.46000000,0.03000000
11,0,0.47100000,0.06000000,0.87700000,0.14000000,-0.08000000,-0.26000000,-0.00003031,-0.00051662,-0.00016903,3.83000000,-28.46000000,0.03000000
12,0,0.47400000,0.06200000,0.88200000,-0.07000000,-0.05000000,-0.18000000,-0.00010003,-0.00056642,-0.00034831,3.83000000,-28.46000000,0.03000000
13,0,0.47700000,0.05700000,0.88000000,0.04000000,0.01000000,-0.11000000,-0.00005960,-0.00055631,-0.00045949,3.82000000,-28.47000000,0.03000000
14,0,0.47900000,0.05500000,0.87600000,-0.30000000,-0.16000000,-0.07000000,-0.00035825,-0.00071559,-0.00052917,3.82000000,-28.47000000,0.04000000
15,0,0.47300000,0.06100000,0.87600000,0.00000000,-0.08000000,-0.26000000,-0.00035825,-0.00079538,-0.00078850,3.82000000,-28.46000000,0.03000000
16,0,0.47400000,0.05600000,0.88100000,-0.01000000,0.09000000,0.05000000,-0.00036822,-0.00070566,-0.00073865,3.81000000,-28.46000000,0.04000000
17,0,0.48000000,0.06000000,0.88200000,-0.11000000,-0.08000000,-0.18000000,-0.00047733,-0.00078501,-0.00091720,3.80000000,-28.46000000,0.04000000
18,0,0.47900000,0.05800000,0.87900000,-0.18000000,0.26000000,-0.16000000,-0.00066772,-0.00051000,-0.00108644,3.79000000,-28.46000000,0.04000000
19,0,0.48000000,0.06300000,0.88000000,0.04000000,-0.28000000,-0.13000000,-0.00062618,-0.00080076,-0.00122143,3.80000000,-28.46000000,0.04000000
20,0,0.47200000,0.05700000,0.87800000,0.21000000,-0.20000000,-0.04000000,-0.00036946,-0.00104526,-0.00127033,3.81000000,-28.46000000,0.04000000
21,0,0.47800000,0.06100000,0.87800000,-0.11000000,-0.00000000,-0.24000000,-0.00049827,-0.00104526,-0.00155136,3.81000000,-28.45000000,0.03000000
22,0,0.47900000,0.06400000,0.88000000,-0.08000000,-0.22000000,0.12000000,-0.00061413,-0.00136387,-0.00137757,3.80000000,-28.46000000,0.04000000
23,0,0.47400000,0.05900000,0.88200000,-0.06000000,-0.24000000,-0.19000000,-0.00069115,-0.00167197,-0.00162149,3.80000000,-28.46000000,0.04000000
